ResultNumber,ProvinceTerritory,Health Region2007,HealthRegionCode2007,ForwardSortationAreaCodes,TestDurationInDays,AverageRadonConcentrationInBqPerM3,,,,,,
722,PE,Prince Edward Island Health Region,1111,C0A,90,16,,,,,,
723,PE,Prince Edward Island Health Region,1111,C0A,91,17,,,,,,
724,PE,Prince Edward Island Health Region,1111,C0A,92,19,,,,,,
725,PE,Prince Edward Island Health Region,1111,C0A,91,19,,,,,,
726,PE,Prince Edward Island Health Region,1111,C0A,93,23,,,,,,
727,PE,Prince Edward Island Health Region,1111,C0A,90,29,,,,,,
728,PE,Prince Edward Island Health Region,1111,C0A,107,84,,,,,,
729,PE,Prince Edward Island Health Region,1111,C1A,92,14,,,,,,
730,PE,Prince Edward Island Health Region,1111,C1A,97,14,,,,,,
731,PE,Prince Edward Island Health Region,1111,C1A,230,14,,,,,,
732,PE,Prince Edward Island Health Region,1111,C1A,114,14,,,,,,
733,PE,Prince Edward Island Health Region,1111,C1A,93,14,,,,,,
734,PE,Prince Edward Island Health Region,1111,C1A,91,17,,,,,,
735,PE,Prince Edward Island Health Region,1111,C1A,92,18,,,,,,
736,PE,Prince Edward Island Health Region,1111,C1A,92,19,,,,,,
737,PE,Prince Edward Island Health Region,1111,C1A,94,20,,,,,,
738,PE,Prince Edward Island Health Region,1111,C1A,114,25,,,,,,
739,PE,Prince Edward Island Health Region,1111,C1A,133,33,,,,,,
740,PE,Prince Edward Island Health Region,1111,C1A,96,39,,,,,,
741,PE,Prince Edward Island Health Region,1111,C1A,107,46,,,,,,
742,PE,Prince Edward Island Health Region,1111,C1A,90,75,,,,,,
743,PE,Prince Edward Island Health Region,1111,C1A,92,80,,,,,,
744,PE,Prince Edward Island Health Region,1111,*,105,27,,,,,,
745,PE,Prince Edward Island Health Region,1111,C1E,91,14,,,,,,
746,PE,Prince Edward Island Health Region,1111,C1E,116,16,,,,,,
747,PE,Prince Edward Island Health Region,1111,C1E,92,19,,,,,,
748,PE,Prince Edward Island Health Region,1111,C1E,123,38,,,,,,
749,PE,Prince Edward Island Health Region,1111,C0A,94,14,,,,,,
750,PE,Prince Edward Island Health Region,1111,C0A,99,54,,,,,,
751,PE,Prince Edward Island Health Region,1111,C0A,99,146,,,,,,
752,PE,Prince Edward Island Health Region,1111,C0A,111,261,,,,,,
753,PE,Prince Edward Island Health Region,1111,C0A,86,415,,,,,,
754,PE,Prince Edward Island Health Region,1111,C0B,91,169,,,,,,
755,PE,Prince Edward Island Health Region,1111,C0B,120,14,,,,,,
756,PE,Prince Edward Island Health Region,1111,C0A,122,14,,,,,,
757,PE,Prince Edward Island Health Region,1111,C0A,94,14,,,,,,
758,PE,Prince Edward Island Health Region,1111,C0A,90,14,,,,,,
759,PE,Prince Edward Island Health Region,1111,C0A,90,14,,,,,,
760,PE,Prince Edward Island Health Region,1111,C0A,101,18,,,,,,
761,PE,Prince Edward Island Health Region,1111,C0A,91,21,,,,,,
762,PE,Prince Edward Island Health Region,1111,C0A,123,25,,,,,,
763,PE,Prince Edward Island Health Region,1111,C0A,101,25,,,,,,
764,PE,Prince Edward Island Health Region,1111,C0A,91,14,,,,,,
765,PE,Prince Edward Island Health Region,1111,C0A,121,137,,,,,,
766,PE,Prince Edward Island Health Region,1111,C0B,93,18,,,,,,
767,PE,Prince Edward Island Health Region,1111,C0B,108,14,,,,,,
768,PE,Prince Edward Island Health Region,1111,C0B,103,20,,,,,,
769,PE,Prince Edward Island Health Region,1111,C0A,91,31,,,,,,
770,PE,Prince Edward Island Health Region,1111,C0A,90,31,,,,,,
771,PE,Prince Edward Island Health Region,1111,C0A,154,71,,,,,,
772,PE,Prince Edward Island Health Region,1111,C0A,92,132,,,,,,
773,PE,Prince Edward Island Health Region,1111,C0A,95,14,,,,,,
774,PE,Prince Edward Island Health Region,1111,C0A,107,87,,,,,,
775,PE,Prince Edward Island Health Region,1111,C0A,90,14,,,,,,
776,PE,Prince Edward Island Health Region,1111,C0A,93,352,,,,,,
777,PE,Prince Edward Island Health Region,1111,C0A,94,28,,,,,,
778,PE,Prince Edward Island Health Region,1111,C0A,90,14,,,,,,
779,PE,Prince Edward Island Health Region,1111,C0A,112,14,,,,,,
780,PE,Prince Edward Island Health Region,1111,C0A,90,104,,,,,,
781,PE,Prince Edward Island Health Region,1111,C0A,91,89,,,,,,
782,PE,Prince Edward Island Health Region,1111,C0A,94,14,,,,,,
783,PE,Prince Edward Island Health Region,1111,C0A,94,14,,,,,,
784,PE,Prince Edward Island Health Region,1111,C0A,93,14,,,,,,
785,PE,Prince Edward Island Health Region,1111,C0A,92,14,,,,,,
786,PE,Prince Edward Island Health Region,1111,C0A,92,14,,,,,,
787,PE,Prince Edward Island Health Region,1111,C0A,90,14,,,,,,
788,PE,Prince Edward Island Health Region,1111,C0A,131,22,,,,,,
789,PE,Prince Edward Island Health Region,1111,C0A,91,38,,,,,,
790,PE,Prince Edward Island Health Region,1111,C0A,90,88,,,,,,
791,PE,Prince Edward Island Health Region,1111,C0A,92,97,,,,,,
792,PE,Prince Edward Island Health Region,1111,C0A,91,27,,,,,,
793,PE,Prince Edward Island Health Region,1111,C0B,92,15,,,,,,
794,PE,Prince Edward Island Health Region,1111,C1B,112,14,,,,,,
795,PE,Prince Edward Island Health Region,1111,C1B,92,27,,,,,,
796,PE,Prince Edward Island Health Region,1111,C1B,91,118,,,,,,
797,PE,Prince Edward Island Health Region,1111,C1B,92,166,,,,,,
798,PE,Prince Edward Island Health Region,1111,C0B,91,14,,,,,,
799,PE,Prince Edward Island Health Region,1111,C1N,91,14,,,,,,
800,PE,Prince Edward Island Health Region,1111,C1N,91,14,,,,,,
801,PE,Prince Edward Island Health Region,1111,C1N,91,14,,,,,,
802,PE,Prince Edward Island Health Region,1111,C1N,118,14,,,,,,
803,PE,Prince Edward Island Health Region,1111,C1N,92,14,,,,,,
804,PE,Prince Edward Island Health Region,1111,C1N,91,17,,,,,,
805,PE,Prince Edward Island Health Region,1111,C1N,91,23,,,,,,
806,PE,Prince Edward Island Health Region,1111,C1N,92,27,,,,,,
807,PE,Prince Edward Island Health Region,1111,C1N,93,28,,,,,,
808,PE,Prince Edward Island Health Region,1111,C1N,92,28,,,,,,
809,PE,Prince Edward Island Health Region,1111,C1N,95,29,,,,,,
810,PE,Prince Edward Island Health Region,1111,C1N,95,31,,,,,,
811,PE,Prince Edward Island Health Region,1111,C1N,90,36,,,,,,
812,PE,Prince Edward Island Health Region,1111,C1N,91,38,,,,,,
813,PE,Prince Edward Island Health Region,1111,C1N,95,58,,,,,,
814,PE,Prince Edward Island Health Region,1111,C1N,91,68,,,,,,
815,PE,Prince Edward Island Health Region,1111,C1N,105,120,,,,,,
816,PE,Prince Edward Island Health Region,1111,C1N,92,156,,,,,,
817,PE,Prince Edward Island Health Region,1111,C1N,91,248,,,,,,
818,PE,Prince Edward Island Health Region,1111,C0B,90,28,,,,,,
819,PE,Prince Edward Island Health Region,1111,C0B,116,65,,,,,,
820,PE,Prince Edward Island Health Region,1111,C0B,91,14,,,,,,
821,PE,Prince Edward Island Health Region,1111,C0B,112,14,,,,,,
822,PE,Prince Edward Island Health Region,1111,C0B,91,14,,,,,,
823,PE,Prince Edward Island Health Region,1111,C0A,91,14,,,,,,
824,PE,Prince Edward Island Health Region,1111,C0A,113,14,,,,,,
825,PE,Prince Edward Island Health Region,1111,C0A,109,73,,,,,,
826,PE,Prince Edward Island Health Region,1111,C0A,93,87,,,,,,
827,NS,Zone 1,1201,B0W,111,101,,,,,,
828,NS,Zone 1,1201,B0S,92,25,,,,,,
829,NS,Zone 1,1201,B0S,91,82,,,,,,
830,NS,Zone 1,1201,B0J,62,80,,,,,,
831,NS,Zone 1,1201,B4V,91,136,,,,,,
832,NS,Zone 1,1201,B4V,107,43,,,,,,
833,NS,Zone 1,1201,B4V,91,965,,,,,,
834,NS,Zone 1,1201,B0J,124,14,,,,,,
835,NS,Zone 1,1201,B0J,90,39,,,,,,
836,NS,Zone 1,1201,B0J,95,53,,,,,,
837,NS,Zone 1,1201,B0J,93,96,,,,,,
838,NS,Zone 1,1201,B0J,94,185,,,,,,
839,NS,Zone 1,1201,B0J,94,71,,,,,,
840,NS,Zone 1,1201,B0J,95,139,,,,,,
841,NS,Zone 1,1201,B0W,91,14,,,,,,
842,NS,Zone 1,1201,B0W,159,56,,,,,,
843,NS,Zone 1,1201,B0W,109,22,,,,,,
844,NS,Zone 1,1201,B0W,96,14,,,,,,
845,NS,Zone 1,1201,B0W,91,139,,,,,,
846,NS,Zone 1,1201,B4V,97,31,,,,,,
847,NS,Zone 1,1201,B4V,94,198,,,,,,
848,NS,Zone 1,1201,B0V,93,14,,,,,,
849,NS,Zone 1,1201,B0V,91,19,,,,,,
850,NS,Zone 1,1201,B0V,91,75,,,,,,
851,NS,Zone 1,1201,B0V,90,113,,,,,,
852,NS,Zone 1,1201,B0W,91,23,,,,,,
853,NS,Zone 1,1201,B0W,104,20,,,,,,
854,NS,Zone 1,1201,B4V,93,109,,,,,,
855,NS,Zone 1,1201,B4V,100,295,,,,,,
856,NS,Zone 1,1201,B0J,91,92,,,,,,
857,NS,Zone 1,1201,B4V,94,14,,,,,,
858,NS,Zone 1,1201,B0W,124,14,,,,,,
859,NS,Zone 1,1201,B0W,92,14,,,,,,
860,NS,Zone 1,1201,B0T,98,14,,,,,,
861,NS,Zone 1,1201,B0T,93,30,,,,,,
862,NS,Zone 1,1201,B0T,91,43,,,,,,
863,NS,Zone 1,1201,B0T,104,232,,,,,,
864,NS,Zone 1,1201,B0T,92,14,,,,,,
865,NS,Zone 1,1201,B0T,91,39,,,,,,
866,NS,Zone 1,1201,B0J,104,25,,,,,,
867,NS,Zone 1,1201,B0J,105,14,,,,,,
868,NS,Zone 1,1201,B0J,91,14,,,,,,
869,NS,Zone 1,1201,B0J,91,35,,,,,,
870,NS,Zone 1,1201,B0J,94,41,,,,,,
871,NS,Zone 1,1201,B0J,106,14,,,,,,
872,NS,Zone 1,1201,B0J,91,20,,,,,,
873,NS,Zone 1,1201,B0J,94,23,,,,,,
874,NS,Zone 1,1201,B0J,99,24,,,,,,
875,NS,Zone 1,1201,B0J,94,45,,,,,,
876,NS,Zone 1,1201,B0J,91,50,,,,,,
877,NS,Zone 1,1201,B0J,92,127,,,,,,
878,NS,Zone 1,1201,B0J,93,177,,,,,,
879,NS,Zone 1,1201,B0J,110,182,,,,,,
880,NS,Zone 1,1201,B0W,89,14,,,,,,
881,NS,Zone 1,1201,B0W,92,19,,,,,,
882,NS,Zone 1,1201,B0W,96,14,,,,,,
883,NS,Zone 1,1201,B0W,95,141,,,,,,
884,NS,Zone 1,1201,B0W,91,14,,,,,,
885,NS,Zone 1,1201,B0W,92,14,,,,,,
886,NS,Zone 1,1201,B0W,91,42,,,,,,
887,NS,Zone 1,1201,B0W,61,97,,,,,,
888,NS,Zone 1,1201,B0T,91,17,,,,,,
889,NS,Zone 1,1201,B0R,94,18,,,,,,
890,NS,Zone 1,1201,B0R,92,21,,,,,,
891,NS,Zone 1,1201,B0R,91,36,,,,,,
892,NS,Zone 1,1201,B0R,91,124,,,,,,
893,NS,Zone 1,1201,B0R,92,207,,,,,,
894,NS,Zone 1,1201,B0W,106,18,,,,,,
895,NS,Zone 1,1201,B0T,93,136,,,,,,
896,NS,Zone 1,1201,B4V,93,101,,,,,,
897,NS,Zone 1,1201,B0R,98,743,,,,,,
898,NS,Zone 1,1201,B0W,91,28,,,,,,
899,NS,Zone 1,1201,B0T,114,27,,,,,,
900,NS,Zone 1,1201,B0V,100,19,,,,,,
901,NS,Zone 1,1201,B0V,93,14,,,,,,
902,NS,Zone 1,1201,B0W,130,14,,,,,,
903,NS,Zone 1,1201,B0W,91,60,,,,,,
904,NS,Zone 1,1201,B0T,96,14,,,,,,
905,NS,Zone 1,1201,B0T,87,26,,,,,,
906,NS,Zone 1,1201,B0T,92,29,,,,,,
907,NS,Zone 1,1201,B0T,92,49,,,,,,
908,NS,Zone 1,1201,B0T,92,94,,,,,,
909,NS,Zone 1,1201,B0T,94,14,,,,,,
910,NS,Zone 1,1201,B0T,91,14,,,,,,
911,NS,Zone 1,1201,B0W,97,18,,,,,,
912,NS,Zone 1,1201,B0W,93,29,,,,,,
913,NS,Zone 1,1201,B0W,97,79,,,,,,
914,NS,Zone 1,1201,B0W,92,14,,,,,,
915,NS,Zone 1,1201,B4V,98,81,,,,,,
916,NS,Zone 1,1201,B0W,90,14,,,,,,
917,NS,Zone 1,1201,B0W,106,449,,,,,,
918,NS,Zone 1,1201,B5A,91,14,,,,,,
919,NS,Zone 1,1201,B5A,89,14,,,,,,
920,NS,Zone 1,1201,B5A,94,14,,,,,,
921,NS,Zone 1,1201,B5A,93,14,,,,,,
922,NS,Zone 1,1201,B0W,86,14,,,,,,
923,NS,Zone 1,1201,B0W,97,79,,,,,,
924,NS,Zone 2,1202,B0S,100,14,,,,,,
925,NS,Zone 2,1202,B0S,100,14,,,,,,
926,NS,Zone 2,1202,B0S,90,141,,,,,,
927,NS,Zone 2,1202,B0S,133,14,,,,,,
928,NS,Zone 2,1202,B0S,96,14,,,,,,
929,NS,Zone 2,1202,B0S,116,20,,,,,,
930,NS,Zone 2,1202,B0S,90,21,,,,,,
931,NS,Zone 2,1202,B0S,103,23,,,,,,
932,NS,Zone 2,1202,B0P,125,14,,,,,,
933,NS,Zone 2,1202,B0P,132,14,,,,,,
934,NS,Zone 2,1202,B0P,62,14,,,,,,
935,NS,Zone 2,1202,B0P,92,14,,,,,,
936,NS,Zone 2,1202,B0P,94,15,,,,,,
937,NS,Zone 2,1202,B0P,107,17,,,,,,
938,NS,Zone 2,1202,B0P,91,19,,,,,,
939,NS,Zone 2,1202,B0P,91,230,,,,,,
940,NS,Zone 2,1202,B0P,91,682,,,,,,
941,NS,Zone 2,1202,B0P,95,796,,,,,,
942,NS,Zone 2,1202,B0S,99,14,,,,,,
943,NS,Zone 2,1202,B0S,93,14,,,,,,
944,NS,Zone 2,1202,B0S,92,14,,,,,,
945,NS,Zone 2,1202,B0S,91,14,,,,,,
946,NS,Zone 2,1202,B0S,93,14,,,,,,
947,NS,Zone 2,1202,B0S,99,24,,,,,,
948,NS,Zone 2,1202,B0S,82,28,,,,,,
949,NS,Zone 2,1202,B0S,100,29,,,,,,
950,NS,Zone 2,1202,B0S,106,394,,,,,,
951,NS,Zone 2,1202,B0P,91,20,,,,,,
952,NS,Zone 2,1202,B0P,95,33,,,,,,
953,NS,Zone 2,1202,B0P,94,194,,,,,,
954,NS,Zone 2,1202,B0P,97,1307,,,,,,
955,NS,Zone 2,1202,B0P,91,14,,,,,,
956,NS,Zone 2,1202,B0P,91,14,,,,,,
957,NS,Zone 2,1202,B0P,91,14,,,,,,
958,NS,Zone 2,1202,B0P,91,14,,,,,,
959,NS,Zone 2,1202,B0P,91,14,,,,,,
960,NS,Zone 2,1202,B0P,91,23,,,,,,
961,NS,Zone 2,1202,B0P,91,28,,,,,,
962,NS,Zone 2,1202,B0P,90,30,,,,,,
963,NS,Zone 2,1202,B0P,91,31,,,,,,
964,NS,Zone 2,1202,B0P,96,35,,,,,,
965,NS,Zone 2,1202,B0P,101,160,,,,,,
966,NS,Zone 2,1202,B0P,101,33,,,,,,
967,NS,Zone 2,1202,B0S,93,14,,,,,,
968,NS,Zone 2,1202,B4R,93,31,,,,,,
969,NS,Zone 2,1202,B4R,92,36,,,,,,
970,NS,Zone 2,1202,B4R,90,85,,,,,,
971,NS,Zone 2,1202,B0S,89,30,,,,,,
972,NS,Zone 2,1202,B0S,99,14,,,,,,
973,NS,Zone 2,1202,B0S,90,17,,,,,,
974,NS,Zone 2,1202,B0S,91,23,,,,,,
975,NS,Zone 2,1202,B0S,90,30,,,,,,
976,NS,Zone 2,1202,B0S,102,31,,,,,,
977,NS,Zone 2,1202,B0P,90,14,,,,,,
978,NS,Zone 2,1202,B0S,92,93,,,,,,
979,NS,Zone 2,1202,B0P,91,14,,,,,,
980,NS,Zone 2,1202,B4N,96,14,,,,,,
981,NS,Zone 2,1202,B4N,91,14,,,,,,
982,NS,Zone 2,1202,B4N,91,14,,,,,,
983,NS,Zone 2,1202,B4N,156,34,,,,,,
984,NS,Zone 2,1202,B4N,89,82,,,,,,
985,NS,Zone 2,1202,B4N,90,85,,,,,,
986,NS,Zone 2,1202,B4N,90,188,,,,,,
987,NS,Zone 2,1202,B0P,91,14,,,,,,
988,NS,Zone 2,1202,B0P,94,16,,,,,,
989,NS,Zone 2,1202,B0P,90,34,,,,,,
990,NS,Zone 2,1202,B0P,91,35,,,,,,
991,NS,Zone 2,1202,B4N,94,59,,,,,,
992,NS,Zone 2,1202,B0S,109,85,,,,,,
993,NS,Zone 2,1202,B0S,118,14,,,,,,
994,NS,Zone 2,1202,B0S,90,14,,,,,,
995,NS,Zone 2,1202,B0S,121,15,,,,,,
996,NS,Zone 2,1202,B0S,151,60,,,,,,
997,NS,Zone 2,1202,B4N,93,16,,,,,,
998,NS,Zone 2,1202,B4N,103,20,,,,,,
999,NS,Zone 2,1202,B4N,101,25,,,,,,
1000,NS,Zone 2,1202,B4N,91,83,,,,,,
1001,NS,Zone 2,1202,B0S,92,32,,,,,,
1002,NS,Zone 2,1202,B0P,92,14,,,,,,
1003,NS,Zone 2,1202,B0P,91,17,,,,,,
1004,NS,Zone 2,1202,B0P,99,29,,,,,,
1005,NS,Zone 2,1202,B0R,93,21,,,,,,
1006,NS,Zone 2,1202,B0R,92,22,,,,,,
1007,NS,Zone 2,1202,B0R,84,31,,,,,,
1008,NS,Zone 2,1202,B0P,91,17,,,,,,
1009,NS,Zone 2,1202,B0P,131,27,,,,,,
1010,NS,Zone 2,1202,B0P,91,33,,,,,,
1011,NS,Zone 2,1202,B0P,91,37,,,,,,
1012,NS,Zone 2,1202,B0P,123,175,,,,,,
1013,NS,Zone 2,1202,B0P,93,14,,,,,,
1014,NS,Zone 2,1202,B0P,102,165,,,,,,
1015,NS,Zone 2,1202,B4P,91,14,,,,,,
1016,NS,Zone 2,1202,B4P,96,14,,,,,,
1017,NS,Zone 2,1202,B4P,93,16,,,,,,
1018,NS,Zone 2,1202,B4P,102,18,,,,,,
1019,NS,Zone 2,1202,B4P,91,19,,,,,,
1020,NS,Zone 2,1202,B4P,94,22,,,,,,
1021,NS,Zone 2,1202,B4P,96,25,,,,,,
1022,NS,Zone 2,1202,B4P,91,26,,,,,,
1023,NS,Zone 2,1202,B4P,92,41,,,,,,
1024,NS,Zone 2,1202,B4P,92,65,,,,,,
1025,NS,Zone 2,1202,B4P,91,70,,,,,,
1026,NS,Zone 2,1202,B4P,90,78,,,,,,
1027,NS,Zone 2,1202,B4P,98,90,,,,,,
1028,NS,Zone 2,1202,B4P,91,128,,,,,,
1029,NS,Zone 2,1202,B4P,93,131,,,,,,
1030,NS,Zone 2,1202,B4P,93,206,,,,,,
1031,NS,Zone 3,1203,B4H,93,14,,,,,,
1032,NS,Zone 3,1203,B4H,90,14,,,,,,
1033,NS,Zone 3,1203,B4H,92,14,,,,,,
1034,NS,Zone 3,1203,B4H,91,18,,,,,,
1035,NS,Zone 3,1203,B4H,90,21,,,,,,
1036,NS,Zone 3,1203,B4H,91,31,,,,,,
1037,NS,Zone 3,1203,B4H,109,32,,,,,,
1038,NS,Zone 3,1203,B4H,129,51,,,,,,
1039,NS,Zone 3,1203,B4H,99,66,,,,,,
1040,NS,Zone 3,1203,B4H,146,119,,,,,,
1041,NS,Zone 3,1203,B4H,92,157,,,,,,
1042,NS,Zone 3,1203,B0M,83,17,,,,,,
1043,NS,Zone 3,1203,B0M,90,300,,,,,,
1044,NS,Zone 3,1203,B0M,60,320,,,,,,
1045,NS,Zone 3,1203,B2S,108,87,,,,,,
1046,NS,Zone 3,1203,B0N,92,17,,,,,,
1047,NS,Zone 3,1203,B0N,91,155,,,,,,
1048,NS,Zone 3,1203,B6L,91,35,,,,,,
1049,NS,Zone 3,1203,B0M,90,16,,,,,,
1050,NS,Zone 3,1203,B0M,92,83,,,,,,
1051,NS,Zone 3,1203,B0M,92,141,,,,,,
1052,NS,Zone 3,1203,B0M,91,183,,,,,,
1053,NS,Zone 3,1203,B0M,94,2448,,,,,,
1054,NS,Zone 3,1203,B0K,96,14,,,,,,
1055,NS,Zone 3,1203,B2S,123,22,,,,,,
1056,NS,Zone 3,1203,B2S,96,27,,,,,,
1057,NS,Zone 3,1203,B2T,91,14,,,,,,
1058,NS,Zone 3,1203,B2T,61,20,,,,,,
1059,NS,Zone 3,1203,B2T,101,32,,,,,,
1060,NS,Zone 3,1203,B0M,90,315,,,,,,
1061,NS,Zone 3,1203,B6L,114,66,,,,,,
1062,NS,Zone 3,1203,B6L,102,89,,,,,,
1063,NS,Zone 3,1203,B0N,91,27,,,,,,
1064,NS,Zone 3,1203,B0N,91,14,,,,,,
1065,NS,Zone 3,1203,B0N,94,16,,,,,,
1066,NS,Zone 3,1203,B2S,97,16,,,,,,
1067,NS,Zone 3,1203,B2S,90,31,,,,,,
1068,NS,Zone 3,1203,B0M,92,537,,,,,,
1069,NS,Zone 3,1203,B0L,284,45,,,,,,
1070,NS,Zone 3,1203,B0N,112,14,,,,,,
1071,NS,Zone 3,1203,B0M,90,24,,,,,,
1072,NS,Zone 3,1203,B0N,106,18,,,,,,
1073,NS,Zone 3,1203,B0N,104,14,,,,,,
1074,NS,Zone 3,1203,B0N,101,14,,,,,,
1075,NS,Zone 3,1203,B0N,92,38,,,,,,
1076,NS,Zone 3,1203,B0N,82,38,,,,,,
1077,NS,Zone 3,1203,B0L,103,18,,,,,,
1078,NS,Zone 3,1203,B0L,92,325,,,,,,
1079,NS,Zone 3,1203,B0N,91,25,,,,,,
1080,NS,Zone 3,1203,B0M,93,14,,,,,,
1081,NS,Zone 3,1203,B0M,92,22,,,,,,
1082,NS,Zone 3,1203,B0M,92,24,,,,,,
1083,NS,Zone 3,1203,B0M,100,32,,,,,,
1084,NS,Zone 3,1203,B0M,91,1376,,,,,,
1085,NS,Zone 3,1203,B0M,91,154,,,,,,
1086,NS,Zone 3,1203,B0M,110,81,,,,,,
1087,NS,Zone 3,1203,B0M,91,397,,,,,,
1088,NS,Zone 3,1203,B0M,91,170,,,,,,
1089,NS,Zone 3,1203,B0K,90,22,,,,,,
1090,NS,Zone 3,1203,B0K,101,29,,,,,,
1091,NS,Zone 3,1203,B0K,92,35,,,,,,
1092,NS,Zone 3,1203,B0K,92,172,,,,,,
1093,NS,Zone 3,1203,B0L,92,17,,,,,,
1094,NS,Zone 3,1203,B0L,92,14,,,,,,
1095,NS,Zone 3,1203,B0M,91,60,,,,,,
1096,NS,Zone 3,1203,B6L,108,17,,,,,,
1097,NS,Zone 3,1203,B0N,90,216,,,,,,
1098,NS,Zone 3,1203,B0M,91,14,,,,,,
1099,NS,Zone 3,1203,B0M,93,30,,,,,,
1100,NS,Zone 3,1203,B0M,104,455,,,,,,
1101,NS,Zone 3,1203,B0M,118,14,,,,,,
1102,NS,Zone 3,1203,B0M,96,14,,,,,,
1103,NS,Zone 3,1203,B0M,92,14,,,,,,
1104,NS,Zone 3,1203,B0M,91,17,,,,,,
1105,NS,Zone 3,1203,B0M,91,29,,,,,,
1106,NS,Zone 3,1203,B0M,92,41,,,,,,
1107,NS,Zone 3,1203,B0K,92,14,,,,,,
1108,NS,Zone 3,1203,B0K,93,16,,,,,,
1109,NS,Zone 3,1203,B0K,91,41,,,,,,
1110,NS,Zone 3,1203,B0K,97,60,,,,,,
1111,NS,Zone 3,1203,B0K,91,79,,,,,,
1112,NS,Zone 3,1203,B2N,93,21,,,,,,
1113,NS,Zone 3,1203,B2N,92,31,,,,,,
1114,NS,Zone 3,1203,B2N,91,106,,,,,,
1115,NS,Zone 3,1203,B2N,91,644,,,,,,
1116,NS,Zone 3,1203,B0N,141,22,,,,,,
1117,NS,Zone 3,1203,B0N,97,53,,,,,,
1118,NS,Zone 3,1203,B2S,89,31,,,,,,
1119,NS,Zone 3,1203,B6L,92,30,,,,,,
1120,NS,Zone 3,1203,B6L,83,14,,,,,,
1121,NS,Zone 3,1203,B0N,95,125,,,,,,
1122,NS,Zone 3,1203,B0K,101,14,,,,,,
1123,NS,Zone 3,1203,B0K,89,27,,,,,,
1124,NS,Zone 3,1203,B0M,92,14,,,,,,
1125,NS,Zone 3,1203,B0M,91,14,,,,,,
1126,NS,Zone 3,1203,B0M,90,279,,,,,,
1127,NS,Zone 4,1204,B0H,109,24,,,,,,
1128,NS,Zone 4,1204,B2G,90,14,,,,,,
1129,NS,Zone 4,1204,B2G,91,14,,,,,,
1130,NS,Zone 4,1204,B2G,106,14,,,,,,
1131,NS,Zone 4,1204,B2G,91,14,,,,,,
1132,NS,Zone 4,1204,B2G,98,15,,,,,,
1133,NS,Zone 4,1204,B2G,92,36,,,,,,
1134,NS,Zone 4,1204,B2G,91,65,,,,,,
1135,NS,Zone 4,1204,B2G,96,122,,,,,,
1136,NS,Zone 4,1204,B2G,118,149,,,,,,
1137,NS,Zone 4,1204,B0H,91,14,,,,,,
1138,NS,Zone 4,1204,B0H,94,28,,,,,,
1139,NS,Zone 4,1204,B0E,104,14,,,,,,
1140,NS,Zone 4,1204,B0E,97,16,,,,,,
1141,NS,Zone 4,1204,B0E,91,16,,,,,,
1142,NS,Zone 4,1204,B0E,91,25,,,,,,
1143,NS,Zone 4,1204,B0E,74,26,,,,,,
1144,NS,Zone 4,1204,B0E,92,575,,,,,,
1145,NS,Zone 4,1204,B0H,92,69,,,,,,
1146,NS,Zone 4,1204,B0H,91,14,,,,,,
1147,NS,Zone 4,1204,B0H,90,81,,,,,,
1148,NS,Zone 4,1204,B0K,115,95,,,,,,
1149,NS,Zone 4,1204,B9A,96,16,,,,,,
1150,NS,Zone 4,1204,B0H,97,14,,,,,,
1151,NS,Zone 4,1204,B0H,94,224,,,,,,
1152,NS,Zone 4,1204,B0E,91,14,,,,,,
1153,NS,Zone 4,1204,B0E,99,14,,,,,,
1154,NS,Zone 4,1204,B0E,96,14,,,,,,
1155,NS,Zone 4,1204,B0E,148,24,,,,,,
1156,NS,Zone 4,1204,B0E,92,25,,,,,,
1157,NS,Zone 4,1204,B0H,90,14,,,,,,
1158,NS,Zone 4,1204,B0H,107,28,,,,,,
1159,NS,Zone 4,1204,B0H,96,144,,,,,,
1160,NS,Zone 4,1204,B0H,100,109,,,,,,
1161,NS,Zone 4,1204,B0H,94,14,,,,,,
1162,NS,Zone 4,1204,B0H,90,34,,,,,,
1163,NS,Zone 4,1204,B0H,92,36,,,,,,
1164,NS,Zone 4,1204,B0H,94,45,,,,,,
1165,NS,Zone 4,1204,B0E,90,77,,,,,,
1166,NS,Zone 4,1204,B0H,97,14,,,,,,
1167,NS,Zone 4,1204,B0H,104,25,,,,,,
1168,NS,Zone 4,1204,B0H,96,14,,,,,,
1169,NS,Zone 4,1204,B0E,92,14,,,,,,
1170,NS,Zone 4,1204,B0E,91,35,,,,,,
1171,NS,Zone 4,1204,B0E,100,14,,,,,,
1172,NS,Zone 4,1204,B0E,98,14,,,,,,
1173,NS,Zone 4,1204,B0E,91,14,,,,,,
1174,NS,Zone 4,1204,B0E,91,16,,,,,,
1175,NS,Zone 4,1204,B0E,91,14,,,,,,
1176,NS,Zone 4,1204,B0K,188,14,,,,,,
1177,NS,Zone 4,1204,B0H,85,14,,,,,,
1178,NS,Zone 4,1204,B0H,92,20,,,,,,
1179,NS,Zone 4,1204,B0H,91,23,,,,,,
1180,NS,Zone 4,1204,B2H,100,14,,,,,,
1181,NS,Zone 4,1204,B2H,90,14,,,,,,
1182,NS,Zone 4,1204,B2H,140,19,,,,,,
1183,NS,Zone 4,1204,B2H,102,25,,,,,,
1184,NS,Zone 4,1204,B2H,74,130,,,,,,
1185,NS,Zone 4,1204,B9A,125,14,,,,,,
